sequence_id,stride,start,n_views,median_gap_deg,mean_gap_deg,p90_gap_deg,total_coverage_deg,trajectory_arc_length,rot_median,rot_p90,rot_mean,center_median_norm,center_p90_norm,trajectory_cosine,neighbor_rpe_rot,neighbor_rpe_trans,pose_gate,frame_indices
plantview__langdon_4__15-04-24,12,27,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,10.975444643299905,74.6042530252245,26.832719326636603,0.28123421844368535,0.589727020213489,0.9133351230975696,33.88343683588399,0.5641708100724424,FAIL,"27,39,51,63,75,87,99,111,123,135,147,159,171,183,195,207"
plantview__langdon_4__15-04-24,12,54,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,8.454587028566673,17.248022994802305,12.184929727381466,0.11293539785818202,0.1961170192156087,0.9876270014547818,16.844593339637193,0.22667240750792672,PASS,"54,66,78,90,102,114,126,138,150,162,174,186,198,210,222,234"
plantview__langdon_4__15-04-24,12,82,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,3.6980263481962554,8.04299079866893,4.55057093204718,0.09253878465323434,0.16629902313867054,0.989471149414982,6.52133494472518,0.14157680497011693,PASS,"82,94,106,118,130,142,154,166,178,190,202,214,226,238,250,262"
plantview__langdon_4__15-04-24,12,109,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,3.576945541542148,5.105361259722955,3.280425251449743,0.05771765888097888,0.0840227642141115,0.9966317762838816,5.194673090360597,0.08266136643735532,PASS,"109,121,133,145,157,169,181,193,205,217,229,241,253,265,277,289"
plantview__langdon_4__15-04-24,16,0,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,45.632791987922644,111.80135278620949,59.8465920785587,0.41200968895733014,0.9019619667837842,0.9236086663422168,43.508167717454896,0.490408603146895,FAIL,"0,16,32,48,64,80,96,112,128,144,160,176,192,208,224,240"
plantview__langdon_4__15-04-24,16,15,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,3.4743451290935745,5.452841572555449,3.5205458042662565,0.060629304788427874,0.09105877903799045,0.9983790936223518,5.186255375950558,0.06935411186055486,PASS,"15,31,47,63,79,95,111,127,143,159,175,191,207,223,239,255"
plantview__langdon_4__15-04-24,16,30,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,61.64250750129754,151.2170044601183,72.6128787296786,0.3044612719866186,1.082751882884863,0.8390342364556438,51.7221131709764,0.5691901567904936,FAIL,"30,46,62,78,94,110,126,142,158,174,190,206,222,238,254,270"
plantview__langdon_4__15-04-24,16,46,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,5.8915112619315995,9.79154969020241,6.265207204247835,0.08539028846923158,0.12039033126505999,0.9989134971721202,12.32103778238219,0.12048887761844833,PASS,"46,62,78,94,110,126,142,158,174,190,206,222,238,254,270,286"
plantview__langdon_4__15-04-24,16,61,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,72.44101607438648,141.1674957537268,75.9377118036304,0.22297748272645462,1.0601946613960314,0.8766093067032704,37.253577734696584,0.5064347974190049,FAIL,"61,77,93,109,125,141,157,173,189,205,221,237,253,269,285,301"
plantview__langdon_4__15-04-24,20,0,16,8.811574204742664,8.978374422264618,13.658570726835743,179.4911002647577,44.020161936355166,89.48058723012306,161.6941600400005,86.98800225821577,0.865426878282157,1.1252305982992397,0.6986040254760384,24.52866879827835,0.7017668488762542,FAIL,"0,20,40,60,80,100,120,140,160,180,200,220,240,260,280,300"
