sequence_id,window_a,window_b,n_overlap,status,alignment_scale,alignment_rotation_deg,alignment_translation_norm,overlap_center_RMSE_before,overlap_center_RMSE_after,overlap_rotation_error_before,center_spread
plantview__langdon_4__12-03-24,29,30,8,OK,1.003809169205715,46.91781476510567,0.7934783164659402,0.7756224274635315,0.010592607514602103,44.6156005859375,0.21566078
plantview__langdon_4__12-03-24,30,31,8,OK,1.0402452177568275,44.886108242405285,0.8626266574042031,0.8436425924301147,0.014371451713932679,48.40996170043945,0.21930623
plantview__langdon_4__12-03-24,31,32,8,OK,0.8675791271257353,44.606882516166856,0.6599879745162137,0.7185199856758118,0.010844591998641882,41.38468933105469,0.22906539
plantview__langdon_4__12-03-24,32,33,8,OK,1.066101218560639,43.165145259995604,0.7995823824562835,0.744684100151062,0.00849085880079657,45.021034240722656,0.19578588
plantview__langdon_4__12-03-24,33,34,8,OK,1.029307168385738,43.20755367739501,0.7921087465355038,0.7669726014137268,0.009057568583982288,43.7489128112793,0.21171041
plantview__langdon_4__12-03-24,34,35,8,OK,1.0527441967977544,49.18553189673342,0.8992770164251561,0.8639360070228577,0.015009587360036757,48.197288513183594,0.22180662
plantview__langdon_4__12-03-24,35,36,8,OK,0.8421343285608477,40.5383989714323,0.6463540112842724,0.7176983952522278,0.012241917708183612,40.018463134765625,0.23812367
plantview__langdon_4__12-03-24,36,37,8,OK,1.0251064632727793,41.875160812490286,0.7709325971694647,0.7560851573944092,0.009922406923107143,45.63039016723633,0.20002422
plantview__langdon_4__12-03-24,37,38,8,OK,1.0339260703967381,45.11477621844399,0.7941213890078995,0.7677137851715088,0.007228408362510888,43.21684265136719,0.2126749
plantview__langdon_4__15-04-24,0,1,8,OK,0.9308982352980594,53.40745855709757,0.7862683719741435,0.8972693681716919,0.01672561936481829,54.382232666015625,0.21785018
plantview__langdon_4__15-04-24,1,2,8,OK,1.065058121137657,28.576566856867927,0.4778721279913827,0.4491356909275055,0.006701693019488343,26.917980194091797,0.20420194
plantview__langdon_4__15-04-24,2,3,8,OK,1.0281088622107757,58.16697771427949,0.8782328335824288,0.8388398885726929,0.020687538082468055,50.32422637939453,0.16196924
plantview__langdon_4__15-04-24,3,4,8,OK,0.9525627647297867,20.2624469997373,0.3132790858533177,0.3241455554962158,0.00860251139467242,18.258390426635742,0.2182081
plantview__langdon_4__15-04-24,4,5,8,OK,1.0726192345454892,46.46390004984934,0.8617091775765272,0.7947791218757629,0.009234306152930872,48.38178253173828,0.20328751
plantview__langdon_4__15-04-24,5,6,8,OK,0.9556621808994493,24.719411235510247,0.4262946938056328,0.3996500074863434,0.004136852506349854,24.352313995361328,0.22015472
plantview__langdon_4__15-04-24,6,7,8,OK,1.0618956487741469,53.24692193858948,0.8997528077087081,0.8349115252494812,0.02040953524562666,48.23390197753906,0.16395654
plantview__langdon_4__15-04-24,7,8,8,OK,0.9523861889864794,22.636380822740463,0.31497269622100166,0.3238602578639984,0.015955487527368743,17.881000518798828,0.21485817
plantview__langdon_4__15-04-24,8,9,8,OK,1.0555365906178673,43.50945656898397,0.8402156689031278,0.7873894572257996,0.008352896305388503,47.618778228759766,0.20667526
plantview__langdon_4__15-04-24,9,10,8,OK,0.9994258505139206,23.98909595268446,0.45623567541787763,0.4106726050376892,0.009895941860454742,24.54718017578125,0.22013767
plantview__langdon_4__15-04-24,10,11,8,OK,0.9546728420642953,68.96268788335837,0.8393603968030019,0.8933363556861877,0.02858385368835014,50.16383361816406,0.17490536
plantview__langdon_4__15-04-24,11,12,8,OK,0.9774738633037552,16.103180931510224,0.2937483919084787,0.2915201485157013,0.013913534321838271,16.816158294677734,0.20532683
plantview__langdon_4__15-04-24,12,13,8,OK,1.032407880736194,44.96052183970415,0.7978461411529848,0.7706426382064819,0.011628583726712145,46.219627380371094,0.19625492
plantview__langdon_4__15-04-24,13,14,8,OK,0.9746129159271858,19.42927343579664,0.4077950086668688,0.37655845284461975,0.0075621327223869324,21.527660369873047,0.22423376
plantview__langdon_4__15-04-24,14,15,8,OK,1.022561685256609,62.45001499407815,0.8923702287503095,0.8639320731163025,0.026955824186535603,48.57032775878906,0.15109581
plantview__langdon_4__15-04-24,15,16,8,OK,0.9005231241202177,21.221798215899966,0.27435177173867403,0.28805118799209595,0.011532849948248136,16.781219482421875,0.22356513
plantview__langdon_4__15-04-24,16,17,8,OK,0.9712030036384234,49.41511200573835,0.7368486026096734,0.7904528975486755,0.016985363751138006,47.94927215576172,0.2054365
plantview__langdon_4__15-04-24,17,18,8,OK,0.9447810490503856,22.47250993003564,0.42530298696327934,0.39504194259643555,0.008590343063588088,23.282115936279297,0.21660358
