sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__05-03-24,25,26,1,12,12,0.0,1.1378,3.8047,1.0,OK,0.999826,-0.011664,0.014532,0.016694,0.907167,-0.42044,-0.008279,0.42061,0.907204
plantview__langdon_4__05-03-24,25,27,2,8,8,0.0,1.0731,3.5771,0.666667,OK,0.999919,-0.001588,0.012663,0.010632,0.652529,-0.757689,-0.00706,0.757762,0.652493
plantview__langdon_4__05-03-24,25,28,3,4,4,0.0,0.0,0.0,0.333333,OK,0.957359,-0.049972,-0.284546,-0.242937,0.393778,-0.886521,0.156349,0.917846,0.364847
plantview__langdon_4__05-03-24,26,27,1,12,12,0.5948,1.3559,1.4489,0.627053,OK,0.999987,-0.000766,-0.005128,-0.001436,0.909417,-0.415884,0.004983,0.415885,0.909403
plantview__langdon_4__05-03-24,26,28,2,8,8,0.3163,1.6561,1.7553,0.506463,OK,0.951912,-0.058336,-0.300766,-0.158436,0.746509,-0.646237,0.262223,0.662813,0.701368
plantview__langdon_4__05-03-24,26,29,3,4,4,0.7232,1.2453,1.3111,0.193443,OK,0.951583,0.077455,-0.297473,-0.163615,0.946884,-0.27684,0.26023,0.312108,0.913712
plantview__langdon_4__05-03-24,27,28,1,12,11,0.7073,1.8306,3.8546,0.585719,OK,0.95322,-0.055322,-0.297173,-0.036451,0.954898,-0.294689,0.300073,0.291735,0.908211
plantview__langdon_4__05-03-24,27,29,2,8,8,0.4592,1.0404,1.1156,0.456877,OK,0.952172,0.082827,-0.294122,-0.045667,0.990324,0.131045,0.30213,-0.111346,0.946741
plantview__langdon_4__05-03-24,27,30,3,4,4,1.1259,2.0379,2.1947,0.156798,OK,0.946819,0.225852,-0.229181,-0.065998,0.833431,0.548668,0.314924,-0.504364,0.804015
plantview__langdon_4__05-03-24,28,29,1,12,12,0.7661,1.4356,3.0888,0.566209,OK,0.999973,0.007174,-0.001581,-0.005885,0.911045,0.412265,0.004398,-0.412244,0.911063
plantview__langdon_4__05-03-24,28,30,2,8,8,0.4744,2.3886,3.6111,0.452161,OK,0.99948,0.032242,0.000625,-0.02105,0.637615,0.770067,0.02443,-0.76968,0.637962
plantview__langdon_4__05-03-24,28,31,3,4,4,0.157,0.9151,1.1726,0.28809,OK,0.999846,0.017123,-0.003753,-0.000926,0.265393,0.96414,0.017505,-0.963988,0.265368
plantview__langdon_4__05-03-24,29,30,1,12,12,0.9893,2.8414,4.2625,0.502695,OK,0.999752,0.016522,0.014901,-0.021439,0.89445,0.446654,-0.005948,-0.446863,0.894583
plantview__langdon_4__05-03-24,29,31,2,8,8,1.0718,3.6969,4.1997,0.321787,OK,0.99998,0.00052,0.006255,-0.005193,0.628247,0.777997,-0.003526,-0.778014,0.628237
plantview__langdon_4__05-03-24,29,32,3,4,4,0.0,2.8629,4.0898,0.333333,OK,0.999817,0.012743,0.014241,-0.017911,0.36515,0.930776,0.006661,-0.930861,0.365312
plantview__langdon_4__05-03-24,30,31,1,12,12,1.6201,2.2523,2.6997,0.381663,OK,0.99962,0.006862,-0.026695,0.004373,0.916757,0.399422,0.027213,-0.399387,0.916378
plantview__langdon_4__05-03-24,30,32,2,8,8,1.2372,1.9904,1.9988,0.297991,OK,0.998059,0.057393,-0.024155,-0.027814,0.757965,0.651702,0.055712,-0.649766,0.75809
plantview__langdon_4__05-03-24,30,33,3,4,4,1.0816,1.6583,1.9027,0.160136,OK,0.997606,0.047636,-0.050123,-0.031311,0.957487,0.286772,0.061653,-0.284516,0.956687
plantview__langdon_4__05-03-24,31,32,1,12,12,1.1036,1.9097,2.1218,0.475382,OK,0.999228,0.039285,0.001,-0.037766,0.952946,0.300779,0.010863,-0.300585,0.953693
plantview__langdon_4__05-03-24,31,33,2,8,8,1.0723,1.4268,1.7108,0.3217,OK,0.999274,0.035766,-0.013147,-0.036859,0.994758,-0.095382,0.009667,0.095797,0.995354
plantview__langdon_4__05-03-24,31,34,3,4,4,0.8775,2.0664,2.5668,0.17754,OK,0.999741,0.010089,-0.020379,-0.018935,0.865597,-0.500383,0.012591,0.500639,0.865564
plantview__langdon_4__05-03-24,32,33,1,12,12,0.9507,3.3885,4.0754,0.512641,OK,0.999997,-0.001158,0.002111,0.001883,0.922482,-0.386035,-0.0015,0.386038,0.922482
plantview__langdon_4__05-03-24,32,34,2,8,8,0.0,3.0022,3.3927,0.666667,OK,0.999597,-0.02235,0.017505,0.02804,0.680815,-0.731919,0.00444,0.732115,0.681167
