sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__15-04-24,5,6,1,8,8,0.4294,1.8127,2.0194,0.466388,OK,0.951495,0.014306,-0.30733,-0.101149,0.957936,-0.268567,0.29056,0.286626,0.912918
plantview__langdon_4__15-04-24,6,7,1,8,8,0.0,3.0106,3.5356,0.666667,OK,0.999866,0.011045,0.012117,-0.016395,0.665702,0.746038,0.000174,-0.746136,0.665793
plantview__langdon_4__15-04-24,7,8,1,8,8,1.2371,2.2887,2.7438,0.298006,OK,0.998506,0.044038,-0.032363,-0.032212,0.952621,0.30245,0.044149,-0.300956,0.952616
plantview__langdon_4__15-04-24,8,9,1,8,8,1.3984,3.2639,3.7727,0.277959,OK,0.999901,-0.008228,0.011391,0.013959,0.674274,-0.738349,-0.001606,0.738435,0.674323
plantview__langdon_4__15-04-24,9,10,1,8,8,0.4851,1.5549,1.917,0.448898,OK,0.953344,0.016315,-0.301444,-0.104781,0.954345,-0.279726,0.283118,0.298261,0.911529
plantview__langdon_4__15-04-24,10,11,1,8,8,1.1751,3.2091,3.5583,0.306494,OK,0.999963,0.00742,0.004258,-0.008023,0.640693,0.767755,0.002968,-0.767761,0.640729
plantview__langdon_4__15-04-24,11,12,1,8,8,0.4734,1.0898,1.1888,0.452469,OK,0.999751,0.004023,-0.021969,0.002487,0.957476,0.288502,0.022196,-0.288484,0.957227
plantview__langdon_4__15-04-24,12,13,1,8,8,2.636,3.519,4.2125,0.183349,OK,0.999963,-0.006779,0.005365,0.008565,0.692461,-0.721405,0.001175,0.721424,0.692493
plantview__langdon_4__15-04-24,13,14,1,8,8,0.7795,1.372,1.5279,0.374643,OK,0.973702,0.012463,-0.227485,-0.078738,0.955383,-0.284683,0.213787,0.295108,0.931239
plantview__langdon_4__15-04-24,14,15,1,8,8,1.7552,3.8723,4.6737,0.241969,OK,0.999861,0.012222,0.011353,-0.016601,0.66214,0.749196,0.001639,-0.74928,0.662251
plantview__langdon_4__15-04-24,15,16,1,8,8,0.3247,0.8757,0.9453,0.50324,OK,0.999702,0.004466,-0.024005,0.002638,0.957622,0.288016,0.024273,-0.287993,0.957325
