seq_id,date,offset,order,n_views,rot_median,rot_p90,center_median_norm,pose_gate
plantview__langdon_4__15-04-24,15-04-24,3,forward,16,1.7395647322627552,3.5674706721575404,0.04032264888421257,PASS
plantview__langdon_4__15-04-24,15-04-24,6,forward,16,1.9149476206696185,3.7327663152257204,0.036793519785914455,PASS
plantview__langdon_4__15-04-24,15-04-24,9,forward,16,2.7881953904627443,4.202496011505335,0.03622820468213583,PASS
plantview__langdon_4__15-04-24,15-04-24,12,forward,16,1.5939492832778697,2.606936624456348,0.029324826441575795,PASS
plantview__langdon_4__15-04-24,15-04-24,15,forward,16,1.621715928235897,2.8202971957039096,0.021549998678026937,PASS
plantview__langdon_4__15-04-24,15-04-24,18,forward,16,4.788738276522501,13.500899001051526,0.07356468739609859,PASS
plantview__langdon_4__15-04-24,15-04-24,21,forward,16,7.942463093059528,10.309359241770085,0.16878522496940235,PASS
plantview__langdon_4__15-04-24,15-04-24,24,forward,16,6.933664801114963,10.720911462153651,0.14778203016377858,PASS
plantview__langdon_4__15-04-24,15-04-24,27,forward,16,3.4830793150916457,14.094827794615146,0.05693355668704132,PASS
plantview__langdon_4__15-04-24,15-04-24,30,forward,16,2.479765604328953,3.694412847123531,0.04373559593167807,PASS
plantview__langdon_4__15-04-24,15-04-24,33,forward,16,1.6014510707895715,3.663160062482578,0.044069631841811,PASS
plantview__langdon_4__15-04-24,15-04-24,36,forward,16,1.207522298513524,1.8801620657921823,0.02995215335092596,PASS
plantview__langdon_4__15-04-24,15-04-24,39,forward,16,0.4956226076449653,1.0882146648575037,0.028549109226695624,PASS
plantview__langdon_4__15-04-24,15-04-24,42,forward,16,1.4925205438123463,2.4239508489965473,0.030938846108707823,PASS
plantview__langdon_4__15-04-24,15-04-24,45,forward,16,0.0,2.3085082780861494,0.022472042635526303,PASS
plantview__langdon_4__15-04-24,15-04-24,48,forward,16,2.8587577921824194,9.961998126846577,0.03538961753469082,PASS
plantview__langdon_4__15-04-24,15-04-24,51,forward,16,6.155719802077355,12.707850322345646,0.11877905126666627,PASS
plantview__langdon_4__15-04-24,15-04-24,54,forward,16,8.638304655809222,8.954736623287069,0.26016521066508236,PASS
plantview__langdon_4__15-04-24,15-04-24,57,forward,16,5.466060913203181,11.0863112140901,0.09252053827964714,PASS
plantview__langdon_4__15-04-24,15-04-24,60,forward,16,3.3405667867977833,11.284300366516872,0.048537370101622596,PASS
plantview__langdon_4__15-04-24,15-04-24,63,forward,16,2.2386510713356604,3.628943716296468,0.04250132771089087,PASS
plantview__langdon_4__15-04-24,15-04-24,66,forward,16,1.8598532329641964,3.3313274063114378,0.04420327979536176,PASS
plantview__langdon_4__15-04-24,15-04-24,69,forward,16,0.7906865845124603,1.6925420894206578,0.03999562538758762,PASS
plantview__langdon_4__15-04-24,15-04-24,72,forward,16,1.275809738677959,2.099134457012843,0.03793009735146338,PASS
plantview__langdon_4__15-04-24,15-04-24,75,forward,16,1.5284772016500767,2.0869537296885357,0.029292205241019262,PASS
plantview__langdon_4__15-04-24,15-04-24,78,forward,16,1.447610651647126,3.053582408239432,0.0177206976422533,PASS
