sequence,pilot_index,original_index,filename,auto_absrel,auto_rmse,auto_scale,calK_absrel,calK_rmse,calK_scale,delta_absrel,delta_rmse,calK_wins_absrel,calK_wins_rmse
plantview__langdon_4__13-02-24,7,112,0112_eval.png,0.2675749002234644,0.2584371775933274,0.8092301597945637,0.3232097964557206,0.30230589080066633,0.7665750143290988,0.055634896232256204,0.04386871320733893,0,0
plantview__langdon_4__13-02-24,8,128,0128_eval.png,0.22553270221710361,0.27294754700774054,0.8616383281747176,0.2793199125097379,0.3204114880964165,0.8152634046756565,0.05378721029263431,0.047463941088675965,0,0
plantview__langdon_4__13-02-24,9,144,0144_eval.png,0.18210293398594632,0.22774010387760815,0.8842145511288396,0.24770677672222527,0.279814147534717,0.8221365991248154,0.06560384273627895,0.052074043657108854,0,0
plantview__langdon_4__13-02-24,10,160,0160_eval.png,0.3348931090203982,0.3322573032168472,0.757652629758552,0.4088649723203512,0.4007204880378879,0.7141967665504177,0.07397186329995298,0.06846318482104069,0,0
plantview__langdon_4__13-02-24,11,176,0176_eval.png,0.20624294121843212,0.2923687683234273,0.8628279906661352,0.2577523262937175,0.3425550129137113,0.8180969741463455,0.05150938507528541,0.050186244590284035,0,0
plantview__langdon_4__13-02-24,12,192,0192_eval.png,0.2778373698678394,0.2754588420756151,0.8033254529423922,0.3466322826787021,0.33308598771562914,0.7536126104200317,0.0687949128108627,0.05762714564001403,0,0
plantview__langdon_4__13-02-24,13,208,0208_eval.png,0.12459694038040359,0.20007119228761588,0.9951986768985548,0.15500899002891413,0.2207085166776901,0.944012498521116,0.030412049648510547,0.020637324390074208,0,0
plantview__langdon_4__13-02-24,14,224,0224_eval.png,0.38012446078779655,0.33880621253426313,0.7286240995607252,0.41494990448793506,0.36741370093525305,0.7060539215918478,0.034825443700138514,0.028607488400989922,0,0
plantview__langdon_4__13-02-24,15,240,0240_eval.png,0.2748310207670373,0.4078134845982317,1.4100838553062116,0.252050191700667,0.3797471183462968,1.3639725799269793,-0.0227808290663703,-0.02806636625193487,1,1
plantview__langdon_4__13-02-24,16,256,0256_eval.png,0.46204326336683477,0.38915987902777033,0.6863084782910039,0.48007808262203827,0.4021984050247325,0.6744259568996355,0.018034819255203505,0.013038525996962147,0,0
plantview__langdon_4__13-02-24,17,272,0272_eval.png,0.5564293158158663,0.7670715049110979,2.4332126286811655,0.5731474609417171,0.7885221515806035,2.5339239828747813,0.016718145125850792,0.02145064666950558,0,0
plantview__langdon_4__13-02-24,18,288,0288_eval.png,0.5243422234099739,0.595386444318169,0.6641132340147099,0.5821052784846177,0.6218795433532716,0.6319352392536336,0.05776305507464374,0.026493099035102552,0,0
plantview__langdon_4__13-02-24,19,304,0304_eval.png,0.5213815866123848,0.7322506308340698,2.169828365652531,0.5489779167466852,0.7663866467483116,2.297607411123682,0.027596330134300406,0.03413601591424176,0,0
plantview__langdon_4__20-02-24,0,0,0000_eval.png,0.3597088012515795,0.41388618815440875,0.9258338497989539,0.39197998190578204,0.44789066595591825,0.8930014207916993,0.032271180654202536,0.0340044778015095,0,0
plantview__langdon_4__20-02-24,1,16,0018_train.png,0.5252258885215113,0.45020810181651755,0.6449365573014892,0.5873511376489827,0.5013730857452076,0.6143205633591695,0.062125249127471416,0.05116498392869001,0,0
plantview__langdon_4__20-02-24,2,32,0034_train.png,0.31406460223571125,0.4569435036801842,1.4882728089170496,0.3136175959297168,0.44461327886221147,1.4579036296730667,-0.00044700630599447955,-0.012330224817972746,1,1
plantview__langdon_4__20-02-24,3,48,0050_train.png,0.669098886777446,0.5469770297174921,0.5925359777295827,0.7510730062801234,0.6091035081342404,0.5612683847004827,0.08197411950267741,0.06212647841674834,0,0
plantview__langdon_4__20-02-24,4,64,0066_train.png,0.30939295356738417,0.5098541711730844,1.3231877620753802,0.30221982401718117,0.48512673744923973,1.2587142157245967,-0.007173129550202995,-0.024727433723844672,1,1
plantview__langdon_4__20-02-24,5,80,0082_train.png,0.6452580015263737,0.5580224033722009,0.6075374756449851,0.7092425497790221,0.6124470124969311,0.5803912109961937,0.06398454825264843,0.05442460912473024,0,0
plantview__langdon_4__20-02-24,6,96,0098_train.png,0.2625085941739392,0.40750962489115605,1.2935041372364537,0.24870401002423456,0.3765320618944061,1.2336421491154599,-0.013804584149704618,-0.030977562996749974,1,1
plantview__langdon_4__20-02-24,7,112,0114_train.png,0.5406085757327173,0.4826494291621234,0.6318253406876106,0.6043562137279295,0.5383676789070658,0.6039860942090209,0.06374763799521221,0.05571824974494244,0,0
plantview__langdon_4__20-02-24,8,128,0130_train.png,0.238632252055751,0.3371619140932027,0.9203633637582473,0.27269861985741295,0.35031707084629693,0.8791524413023646,0.034066367801661945,0.013155156753094255,0,0
plantview__langdon_4__20-02-24,9,144,0146_train.png,0.45234785465643684,0.42490848952752075,0.7040548634232391,0.502612677156234,0.46950378857831676,0.67471269391202,0.05026482249979719,0.04459529905079601,0,0
plantview__langdon_4__20-02-24,10,160,0162_train.png,0.5161269289246769,1.3740973497834055,0.6920346419410717,0.5853873585565266,1.401536555688585,0.6568489513640362,0.06926042963184964,0.027439205905179564,0,0
plantview__langdon_4__20-02-24,11,176,0178_train.png,0.46448183441916363,0.501438391746438,0.6861798706375568,0.5249105311554042,0.5678443061451728,0.652597730228892,0.06042869673624057,0.06640591439873478,0,0
plantview__langdon_4__20-02-24,12,192,0194_train.png,0.5396974726742229,0.5240485569645827,0.6448965882595074,0.6050386380577583,0.5892981989829338,0.6120587176928981,0.0653411653835354,0.06524964201835104,0,0
plantview__langdon_4__20-02-24,13,208,0210_train.png,0.30905267432565336,0.4252752272937524,0.8341976366662542,0.3535096226654795,0.45884453662555785,0.7866661058614547,0.04445694833982611,0.033569309331805464,0,0
plantview__langdon_4__20-02-24,14,224,0226_train.png,0.3828546390979011,0.7210186050892562,0.7346638662055647,0.4444401466583213,0.7478254816005026,0.6929846593595321,0.06158550756042025,0.026806876511246358,0,0
plantview__langdon_4__20-02-24,15,240,0242_train.png,0.21682967467371686,0.3708963421895947,1.0189847932207057,0.2314870726648082,0.3620329730265208,0.9798020956422802,0.014657397991091337,-0.008863369163073898,0,1
