sequence,pilot_index,original_index,filename,raw_absrel,raw_mae_m,raw_rmse_m,raw_delta1,scale_ratio,aligned_absrel,aligned_rmse_m,auto_raw_absrel,auto_raw_rmse_m,auto_scale_ratio
plantview__langdon_4__12-03-24,15,240,0240_eval.png,0.84140196171984,0.845873122507354,0.9107505906260885,0.09807486631016042,0.5304907680563766,0.16465658870158842,0.3610350563204001,0.7570232477554869,0.8203103534975248,0.559537289859013
plantview__langdon_4__12-03-24,16,256,0256_eval.png,0.27650796425024077,0.44622504364509297,0.5338703235900918,0.20465254786553858,1.5422533953142699,0.32619072388716064,0.4565209799765333,0.28142414185385056,0.5529276773409858,1.5790320515485345
plantview__langdon_4__12-03-24,17,272,0272_eval.png,0.74485458627535,0.7484655500175887,0.7995741496630575,0.06027428834850755,0.566839942391733,0.15555698795990938,0.32052389582077967,0.6696906005191102,0.7209894548399248,0.5969462666461707
plantview__langdon_4__12-03-24,18,288,0288_eval.png,0.6598043129702712,1.017806029002395,1.0832059105515186,0.0,3.687461410308728,0.2953477492484413,0.4399767402028686,0.654350368353471,1.0758639427948047,3.630242119594915
plantview__langdon_4__12-03-24,19,304,0304_eval.png,0.4586960311415938,0.469377588593415,0.5031357422373871,0.044220279838737,0.6918980229661262,0.13112366951646362,0.30334859950660975,0.39618188545383726,0.4413995833883617,0.7297371794874489
plantview__langdon_4__13-02-24,0,0,0000_eval.png,0.20752497589873425,0.2647644219064142,0.29325122834087713,0.11823852692219336,1.2126314619642442,0.1935730595890919,0.2667246098431223,0.21806869076876043,0.31928649425251154,1.2581505745850445
plantview__langdon_4__13-02-24,1,16,0016_eval.png,0.4329080025834131,0.36367231580318005,0.3914668945993315,0.013527524670350448,0.7019814410599565,0.16686604448775838,0.3881219810046805,0.3873043648143237,0.3729376284117145,0.7372558391176167
plantview__langdon_4__13-02-24,2,32,0032_eval.png,0.5768837313010656,0.7434941961283448,0.7753816187827809,0.0,2.5421248824794276,0.1761065747477083,0.23450219094849312,0.5598924308296188,0.7548210527145461,2.4525361867071074
plantview__langdon_4__13-02-24,3,48,0048_eval.png,0.49548545385540665,0.41327383925944744,0.4323874071328632,0.027238750556903123,0.6866347085996541,0.17591054895301547,0.33793700849686537,0.43347670857022175,0.39175897359933787,0.730338311279715
plantview__langdon_4__13-02-24,4,64,0064_eval.png,0.3754706656966094,0.471585268338489,0.5213804977020972,0.05892352321649637,1.7565739786393855,0.19717113322532578,0.24608160440705257,0.37820652563697577,0.5246377947688831,1.7651116299196679
plantview__langdon_4__13-02-24,5,80,0080_eval.png,0.2886652987406325,0.2486077092252806,0.28099997877838273,0.020638213673266258,0.8167426713476498,0.12665524007348114,0.22282995820319595,0.23385877349426984,0.25395338408267315,0.8645875939923741
plantview__langdon_4__13-02-24,6,96,0096_eval.png,0.39639676158580267,0.47804668537841044,0.5265451378858458,0.04527681113571654,1.8182046362449,0.16723750334325563,0.23252572853165768,0.39287133691346376,0.5224779821246985,1.805594336501188
plantview__langdon_4__13-02-24,7,112,0112_eval.png,0.3232097964557206,0.2840410571639843,0.30230589080066633,0.04935825033370982,0.7665750143290988,0.09864066300965534,0.1695508263717346,0.2675749002234644,0.2584371775933274,0.8092301597945637
